"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30318","GA","""Atlanta-Sandy Springs-Roswell, GA""",1732,9,9.13140311804009,57.5,0.860927152317881,1.66023166023166
"Zip","30135","GA","""Atlanta-Sandy Springs-Roswell, GA""",1804,9,11.3268608414239,73,4.10596026490066,1.66023166023166
"Zip","30127","GA","""Atlanta-Sandy Springs-Roswell, GA""",1812,9,16.0896130346232,66,7.21854304635762,1.66023166023166
"Zip","30004","GA","""Atlanta-Sandy Springs-Roswell, GA""",1890,9,18.3271832718327,57,6.22516556291391,1.66023166023166
"Zip","30066","GA","""Atlanta-Sandy Springs-Roswell, GA""",1953,9,16.4759725400458,56,3.90728476821192,1.66023166023166
"Zip","30253","GA","""Atlanta-Sandy Springs-Roswell, GA""",1957,9,10.9427609427609,81.5,5.43046357615894,1.66023166023166
"Zip","30083","GA","""Atlanta-Sandy Springs-Roswell, GA""",2000,9,7.54716981132075,69,1.85430463576159,1.66023166023166
"Zip","30067","GA","""Atlanta-Sandy Springs-Roswell, GA""",2004,9,13.5761589403974,51.5,1.52317880794702,1.66023166023166
"Zip","30047","GA","""Atlanta-Sandy Springs-Roswell, GA""",2006,9,16.3888888888889,52.5,3.17880794701987,1.66023166023166
"Zip","30263","GA","""Atlanta-Sandy Springs-Roswell, GA""",2007,9,11.7001828153565,63,2.51655629139073,1.66023166023166
"Zip","30058","GA","""Atlanta-Sandy Springs-Roswell, GA""",2014,9,10.8433734939759,75,3.84105960264901,1.66023166023166
"Zip","30101","GA","""Atlanta-Sandy Springs-Roswell, GA""",2028,9,16.8918918918919,56,4.43708609271523,1.66023166023166
"Zip","30075","GA","""Atlanta-Sandy Springs-Roswell, GA""",2107,9,18.5321100917431,56,6.02649006622517,1.66023166023166
"Zip","30144","GA","""Atlanta-Sandy Springs-Roswell, GA""",2132,9,13.1578947368421,51,1.05960264900662,1.66023166023166
"Zip","30319","GA","""Atlanta-Sandy Springs-Roswell, GA""",2253,9,20.1117318435754,75,9.60264900662252,1.66023166023166
"Zip","30032","GA","""Atlanta-Sandy Springs-Roswell, GA""",2368,9,13.3663366336634,70,5.36423841059603,1.66023166023166
"Zip","30114","GA","""Atlanta-Sandy Springs-Roswell, GA""",2410,9,15.1567944250871,66,6.15894039735099,1.66023166023166
"Zip","30236","GA","""Atlanta-Sandy Springs-Roswell, GA""",2448,9,17.6895306859206,97,9.86754966887417,1.66023166023166
"Zip","30016","GA","""Atlanta-Sandy Springs-Roswell, GA""",2464,9,12.9411764705882,86,7.54966887417219,1.66023166023166
"Zip","30093","GA","""Atlanta-Sandy Springs-Roswell, GA""",2487,9,8.54700854700855,51,0.198675496688742,1.66023166023166
"Zip","30064","GA","""Atlanta-Sandy Springs-Roswell, GA""",2617,9,13.5632183908046,55,1.9205298013245,1.66023166023166
"Zip","30518","GA","""Atlanta-Sandy Springs-Roswell, GA""",2781,9,18.5046728971963,54,4.70198675496689,1.66023166023166
"Zip","30076","GA","""Atlanta-Sandy Springs-Roswell, GA""",2782,9,19.9386503067485,49,3.77483443708609,1.66023166023166
"Zip","30034","GA","""Atlanta-Sandy Springs-Roswell, GA""",2836,9,9.6,85,4.50331125827815,1.66023166023166
"Zip","30097","GA","""Atlanta-Sandy Springs-Roswell, GA""",2934,9,15.1821862348178,70,7.74834437086093,1.66023166023166
"Zip","30350","GA","""Atlanta-Sandy Springs-Roswell, GA""",2935,9,17.687074829932,72,8.80794701986755,1.66023166023166
"Zip","30324","GA","""Atlanta-Sandy Springs-Roswell, GA""",2946,9,16.1585365853659,66,7.28476821192053,1.66023166023166
"Zip","30309","GA","""Atlanta-Sandy Springs-Roswell, GA""",3011,9,15.0395778364116,55.5,3.04635761589404,1.66023166023166
"Zip","30328","GA","""Atlanta-Sandy Springs-Roswell, GA""",3122,9,20.3661327231121,63,8.47682119205298,1.66023166023166
"Zip","30039","GA","""Atlanta-Sandy Springs-Roswell, GA""",3136,9,12.0111731843575,65,2.91390728476821,1.66023166023166
"Zip","30339","GA","""Atlanta-Sandy Springs-Roswell, GA""",3142,9,15.5642023346303,74,8.34437086092715,1.66023166023166
"Zip","30120","GA","""Atlanta-Sandy Springs-Roswell, GA""",3187,9,10.1694915254237,66,2.11920529801325,1.66023166023166
"Zip","30126","GA","""Atlanta-Sandy Springs-Roswell, GA""",3245,9,15.702479338843,62,5.76158940397351,1.66023166023166
"Zip","30680","GA","""Atlanta-Sandy Springs-Roswell, GA""",3252,9,8.45921450151057,62,1.19205298013245,1.66023166023166
"Zip","30519","GA","""Atlanta-Sandy Springs-Roswell, GA""",3282,9,18.1996086105675,61,7.48344370860927,1.66023166023166
"Zip","30134","GA","""Atlanta-Sandy Springs-Roswell, GA""",3332,9,14.4329896907216,63,4.63576158940397,1.66023166023166
"Zip","30152","GA","""Atlanta-Sandy Springs-Roswell, GA""",3393,9,15.5555555555556,61,4.7682119205298,1.66023166023166
"Zip","30038","GA","""Atlanta-Sandy Springs-Roswell, GA""",3394,9,10.3211009174312,87,5.82781456953642,1.66023166023166
"Zip","30228","GA","""Atlanta-Sandy Springs-Roswell, GA""",3413,9,10.4536489151874,93,6.62251655629139,1.66023166023166
"Zip","30084","GA","""Atlanta-Sandy Springs-Roswell, GA""",3436,9,7.82608695652174,51.5,0.132450331125828,1.66023166023166
"Zip","30311","GA","""Atlanta-Sandy Springs-Roswell, GA""",3445,9,18.7134502923977,88,9.80132450331126,1.66023166023166
"Zip","30019","GA","""Atlanta-Sandy Springs-Roswell, GA""",3482,9,17.3003802281369,62,7.41721854304636,1.66023166023166
"Zip","30115","GA","""Atlanta-Sandy Springs-Roswell, GA""",3495,9,20.5263157894737,68,9.13907284768212,1.66023166023166
"Zip","30316","GA","""Atlanta-Sandy Springs-Roswell, GA""",3503,9,14.2028985507246,50,1.58940397350993,1.66023166023166
"Zip","30338","GA","""Atlanta-Sandy Springs-Roswell, GA""",3537,9,19.0871369294606,62,7.94701986754967,1.66023166023166
"Zip","30092","GA","""Atlanta-Sandy Springs-Roswell, GA""",3586,9,13.7254901960784,53,1.72185430463576,1.66023166023166
"Zip","30102","GA","""Atlanta-Sandy Springs-Roswell, GA""",3594,9,9.43396226415094,50,0.264900662251656,1.66023166023166
"Zip","30294","GA","""Atlanta-Sandy Springs-Roswell, GA""",3624,9,9,78,3.44370860927152,1.66023166023166
"Zip","30252","GA","""Atlanta-Sandy Springs-Roswell, GA""",3666,9,12.0982986767486,74,5.03311258278146,1.66023166023166
"Zip","30305","GA","""Atlanta-Sandy Springs-Roswell, GA""",3697,9,20.7112970711297,70,9.47019867549669,1.66023166023166
"Zip","30033","GA","""Atlanta-Sandy Springs-Roswell, GA""",3713,9,12.1771217712177,48.5,0.529801324503311,1.66023166023166
"Zip","30269","GA","""Atlanta-Sandy Springs-Roswell, GA""",3748,9,19.7718631178707,55,5.96026490066225,1.66023166023166
"Zip","30223","GA","""Atlanta-Sandy Springs-Roswell, GA""",3768,9,7.09876543209877,86,3.37748344370861,1.66023166023166
"Zip","30087","GA","""Atlanta-Sandy Springs-Roswell, GA""",3814,9,14.1065830721003,67,5.62913907284768,1.66023166023166
"Zip","30180","GA","""Atlanta-Sandy Springs-Roswell, GA""",3874,9,13.3501259445844,75,6.6887417218543,1.66023166023166
"Zip","30344","GA","""Atlanta-Sandy Springs-Roswell, GA""",3890,9,13.8297872340426,68,5.49668874172185,1.66023166023166
"Zip","30046","GA","""Atlanta-Sandy Springs-Roswell, GA""",3901,9,11.2299465240642,54,0.927152317880795,1.66023166023166
"Zip","30189","GA","""Atlanta-Sandy Springs-Roswell, GA""",3902,9,19.0082644628099,57,6.82119205298013,1.66023166023166
"Zip","30238","GA","""Atlanta-Sandy Springs-Roswell, GA""",3973,9,5.41871921182266,77.5,2.31788079470199,1.66023166023166
"Zip","30117","GA","""Atlanta-Sandy Springs-Roswell, GA""",4000,9,13.9072847682119,71,6.95364238410596,1.66023166023166
"Zip","30341","GA","""Atlanta-Sandy Springs-Roswell, GA""",4020,9,16.256157635468,48,2.18543046357616,1.66023166023166
"Zip","30329","GA","""Atlanta-Sandy Springs-Roswell, GA""",4069,9,9.52380952380952,56,0.728476821192053,1.66023166023166
"Zip","30014","GA","""Atlanta-Sandy Springs-Roswell, GA""",4088,9,13.4375,102,8.74172185430464,1.66023166023166
"Zip","30213","GA","""Atlanta-Sandy Springs-Roswell, GA""",4113,9,8.34990059642147,114.5,5.56291390728477,1.66023166023166
"Zip","30342","GA","""Atlanta-Sandy Springs-Roswell, GA""",4125,9,22.1606648199446,77,9.66887417218543,1.66023166023166
"Zip","30060","GA","""Atlanta-Sandy Springs-Roswell, GA""",4246,9,14.4186046511628,56,2.64900662251656,1.66023166023166
