"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Downtown","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",155,450000,460000,4e+05,399000,399900,4e+05,428500,420000,418900,399900,390000,392500,380000,380000,377930,380000,395000,389000,384741,384820.5,385000,412000,420000,440000,425000,420000,425000,450000,420000,432500,475000,515000,528856,499000,520000,520000,550000,550000,550000,525000,499000,510000,499000,5e+05,535000,541950,590000,574400,550000,555000,559375,536950,528000,525000,539400,542200,535000,539000,540000,545000,545000,530000,528750,523790,542500,529500,525000,552500,555000,550000,568250,567500,585000,570000,572500,557517,558258.5,570000,552500,550000,550000,550000,550000,550000,555000,550000,550000,550000,549000,549000,542500,550000,549000
"Sun City Summerlin","Las Vegas","NV","Las Vegas","Clark",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228500,227475,217450,205000,199900,206500,209950,218750,217500,216250,219000,219000,229450,230000,229500,229000,219900,223500,225000,225000,225000,225000,223000,223000,229000,229900,234900,232000,235940,242450,249900,259900,249997,249900,250000,259450,259900,264900,265000,265000,259900,264900,265000,272500,280888,281400,294400,290000,290000
"Glenbrook","Stamford","CT","Stamford","Fairfield",157,319000,332450,314990,309990,325000,299000,299000,297900,285000,292000,275000,284000,284900,282000,280000,284950,295000,285000,282000,293900,293900,279000,283250,283250,279000,272500,289000,279000,274000,259000,259000,269000,272000,275000,269000,314950,299950,269000,279000,286000,319000,279000,315000,299999,295000,295000,295000,299000,294500,299000,290000,287900,275000,274000,285000,285000,285000,289450,289000,285000,264950,274500,294000,279000,294000,289000,312900,312900,312450,309900,295000,290000,292500,290000,289900,295000,309500,309000,317500,329000,321500,305000,298750,298500,299950,279000,285000,319500,324750,323500,315000,322000,322000
"Ballston-Virginia Square","Arlington","VA","Washington","Arlington",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,572000,589000,599450,579900,554500,574900,574950,560000,524900,567450,557393.5,515000,529900,529900,525000,559000,599900,573000,579000,559000,545000,579500,519000,535000,607450,639900,589950,579900,590000,570000,564500
"South Beach","San Francisco","CA","San Francisco","San Francisco",159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625000,1700000,1888888,1895000,1995000,1699999,1724999.5,1698000,1750000,1963500,1937000,1825000,1745000,1637500,1599000,1650000,1650000,1595000,1527500,1499000,1494000,1390000,1498500,1527500,1677500,1695000,1698000,1699000,1700000,1775000,1700000
"North Central","Hollywood","FL","Miami-Fort Lauderdale","Broward",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,169900,174900,169900,167450,165000,170000,175000,170749.5,179450,192500,179900,199475,2e+05
"SoHo","New York","NY","New York","New York",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825000,3825000,3392500,3547500,3385000,3345000,3295000,3345000,3385000,3695000,3442500,3697000,3750000,3697000,3235000,3540000,3330000,3315000,3322500,3417500,3330000,3360000,3385000,3600000,3600000,3600000,3550000,3500000,3600000,3495000,3600000,3600000,3495000,3165000,3195000,3500000,3347500,3600000,3675000,3775000,3775000
"Hunters Point","New York","NY","New York","Queens",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227500,1205000,1200000,1190000,1185000,1175000,1190000,1195000,1195000,1185000,1175000,1160000,1167500,1150000,1162500,1177500,1177500,1190000,1195000,1210000,1210000,1229000,1230000
"North-East Coconut Grove","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569000,575000,592000,565000,560250,575900,580000,580000,590875,546750,567625,601750,623750,555125,560250,602000,581000,553000,591000,599000,605000,627500,599000,699000,709500,750000,734500,727500,755000,769500,787500,770000
"Kings Point","Delray Beach","FL","Miami-Fort Lauderdale","Palm Beach",164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49911,50000,49955.5,49911,49900,48000,47500,46950,46900,49000,49450,53700,49900,54999,56000,59900,59900,59999.5,62400,62900,60950,61000,65000,69900,68000,65900,68700,71999.5,74500,69999.5,75000,77950,77400,79900,84999,85000,85000,89500,89000,85000,86450,89900,88850,89900,89900,89990,90700,96750,94500,99000,99000,94900,95000,95000,95000,95000,89900,97750
"Gulf Gate Estates","Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota",165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,179900,165000,164700,164950,177000,179900,197000,197914,197914,197914,199900,199900,205000,196500,195000,196000,199000,197000,189700,210000,199900,204950,199000,199000,205900
"Palm Aire","Pompano Beach","FL","Miami-Fort Lauderdale","Broward",166,99499.5,97567.5,95000,96450,96000,95000,98000,98000,99000,92000,92000,87500,86000,91900,88500,90900,91900,92500,89900,97500,99000,102900,102400,105000,98000,89950,94950,94900,95000,95000,99000,104950,99500,108150,120000,119900,130000,127900,128450,124999,126249.5,125000,124850,130000,130000,130000,130000,130950,130000,131900,130000,125000,126250,129900,128500,127950,129900,132000,135900,135360,135630,135180,137700,137900,135360,135900,138900,139500,140413.5,141663.5,143900,144500,145450,145000,147200,149000,149900,149900,149900,148800,145000,144950,149000,149000,149000,145850,144850,148750,149750,149000,149000,150000,158000
"Fairlington-Shirlington","Arlington","VA","Washington","Arlington",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377450,370000,409250,415000,409250,415000,407000,396950,395000,416950,409450,422900,374900,375000,392969,384900,390000,399900,389000,364900,393450,409200,398450,394500,387000,416700,414450,395000,399900,387500,386250,382000,378750,395000,399900,405000,384950,398000,427450,439900,437400,429444,399900,389000,395000,355000,355000,349900,389900,432000,445000,444380,432450,424000,399900,422900
"Oceanfront","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",168,475000,470000,454000,449000,425000,415000,399500,407000,415000,399000,398993.5,384900,399000,399000,399500,399000,4e+05,399000,399000,399000,412500,425000,410000,439000,415000,424900,429400,429400,424900,429900,395000,425000,470000,465000,499000,487000,499000,485000,479900,482450,479950,499000,499000,492500,512500,525000,525000,501000,515000,520000,524900,519500,535000,525000,525000,529500,539450,565000,550000,562450,552500,575000,559900,582500,599444,599888,640000,650000,610000,610000,650000,685000,664000,650000,654500,650000,625000,650000,650000,650000,675000,650000,650000,650000,647500,679500,675000,675000,659000,630000,620450,649800,632500
"Sunset Hills","Reston","VA","Washington","Fairfax",169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438000,430000,430000,445450,469900,459900,456700,451700,435000,425450,424950,439999,469900,454950,475000,479500,482250,464450,467000,479950,499950,509000,499000,519750,502500
