"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Union Park","Orlando","FL","Orlando","Orange",662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,131000,124950,129000,129450,144900,149900,126300,121900,126100,127600,124900,124900,127450,139900,142000,149900,149500,152000,150000,159900,150000,148950,147660,147000,148000,155000,169900,169900,173950,180000,179950,185000,179990,179980,189900,179965,178992,189900,195000,199900,199000,199900,219500
"Centerville","Barnstable","MA","Cape Cod","Barnstable",663,389000,375000,359450,359000,360000,373750,355000,359000,358500,349900,342450,333900,333450,333900,346900,345000,342450,344900,349700,349000,335000,335000,315000,324900,299900,297000,299000,299000,299450,329450,346950,317000,328000,340000,359900,399000,404900,389900,379000,372200,379000,389000,389000,389000,379000,379000,375000,379000,384450,399900,399000,399000,379900,397000,374900,372400,377900,377000,367850,349900,360000,369000,369900,379000,379000,384450,414000,426200,399900,399900,399450,399900,399000,399900,399900,399900,4e+05,419000,419000,419450,389900,389450,395000,399000,415000,398500,398500,429000,399900,427000,449900,495500,449450
"River Mountain","Henderson","NV","Las Vegas","Clark",664,140950,139900,139900,139950,137400,134950,135000,134900,139500,139000,129000,116750,109500,108000,104450,114250,112450,110000,107750,112500,118500,109900,109000,104900,104894,105000,110000,112750,119900,119974.5,119900,120000,128000,129950,133950,132250,130000,135000,137000,140950,149350,157400,149900,160500,164900,164900,174999.5,170450,169450,174500,184500,175000,175000,179900,179000,178000,180000,195000,195000,199500,195000,205000,195000,193975,210000,199000,208000,225000,229900,214375,209000,204900,217400,199500,215450,216400,239450,239999,237450,229000,227900,239900,249900,247450,249999,262900,262900,257222,272750,269900,269450,280000,285000
"Pinnacle Peak","Scottsdale","AZ","Phoenix","Maricopa",665,789500,799000,795000,797000,739000,725000,7e+05,698000,749000,7e+05,689000,679900,634950,628800,629900,614375,625000,634900,613750,613750,6e+05,600450,599900,648000,689000,695000,674755.5,675000,672500,664950,625000,650000,7e+05,734500,799000,799000,799000,815000,824000,825000,825000,825000,842000,835000,849500,850000,864000,864500,874900,850000,843497.5,859000,882125,875000,850000,869450,895000,949000,925000,935000,949995,949997.5,927000,925000,919000,934000,899000,899000,927000,935000,929000,927000,925000,925000,915000,899000,899000,899000,890000,899000,920000,919990,930000,929000,929500,899900,895000,899500,899999,898000,885000,885000,879000
"Phoebus","Hampton","VA","Virginia Beach","Hampton City",666,154450,162475,174000,165450,165450,165900,165000,165000,166000,163875,159900,157950,154450,154440,155000,155500,155000,159250,150900,159000,159250,154900,147400,148900,141000,140000,135450,130000,130000,123900,138500,129900,123450,119250,127000,130000,123450,120000,120000,124900,124950,125000,130000,134900,136500,139900,130000,139000,145000,151400,152400,149900,163200,160000,145200,139900,139000,130000,130000,129900,132050,130000,129900,130000,135000,139900,139900,147000,140000,140000,139900,139900,139900,135000,139900,140000,135000,135000,140000,140000,139450,149900,155000,169900,175000,169900,163057.5,156000,150000,160000,157400,149950,155000
"Park Glen","Fort Worth","TX","Dallas-Fort Worth","Tarrant",667,149900,149900,151450,151000,153950,149900,149375,149900,149900,149900,144900,140000,142702.5,143652.5,146900,146900,145000,145900,143900,143900,139950,141950,134950,134900,136450,139900,139900,139900,143300,144900,139949.5,141249.5,139900,134250,142300,150750,149999,150000,151999.5,155000,168450,167900,169900,169000,165000,159999.5,159000,160000,160900,164450,165000,164000,160950,162500,165000,169700,169999,169999,171450,175000,179450,174950,174900,179999,180000,184950,184950,179900,182900,193475,189900,190750,207995,217000,219914.5,219000,209900,209900,209900,210000,209450,215750,212250,213700,225000,229000,230000,234444,229000,226997.5,225000,234450,239900
"Myers Park","Charlotte","NC","Charlotte","Mecklenburg",668,820000,799900,814950,799000,819900,819900,819900,809949.5,798750,749000,767000,750000,775000,785000,775000,779000,799000,797000,814500,769500,749000,7e+05,696250,699000,749000,775000,777000,835000,849500,849000,844000,849000,850000,865000,867450,849950,899000,849950,849500,895000,944750,909950,860000,835000,840000,775000,875000,867000,850000,882000,907000,899900,895000,892500,827500,799000,799000,798000,760000,772450,855000,855000,889000,892000,990000,917250,995000,995000,1049000,1050000,1100000,1075000,1022000,1059000,1075000,1090000,1087000,1054500,1099000,1107500,1115000,1149000,1149000,1099950,1137500,1175000,1150000,1249000,1185000,1100000,1080000,1075000,1085000
"Stone Oak","San Antonio","TX","San Antonio","Bexar",669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312000,294999,274775,264475,265000,264500,274950,274925,269950,268950,267500,299000,289500,285000,299000,322500,313500,320000,305000,289900,284750,289500,287000,289000,299999,323099.5,306245,307000,299900,291250,319900,319900,317000,302596,312000,318450,330000,329900,324900,349900,346490,337250,334500,332000,324800
"Upper Grand Lagoon","Panama City","FL","Panama City","Bay",670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259450,265000,259900,263900,265000,259000,259950,262450,260000,259998,264900,274450,258900,264400,269900,279000,279000,275000,259900,274900,274900,275000,270400,273060,272865,275730,279467.5,275000,299950,299950,314900,299000,315000,299999,303715,315000,325250,329900,329900,339000,314500,309500,305900,299000,299000,312000,321015
"Finn Hill","Kirkland","WA","Seattle","King",671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687500,710000,699000,662500,649950,699000,798880,773000,692475,798880,7e+05,676750,682500,725000
"Crescenta Highlands","Glendale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000,650000,675888.5,677777,649000,664000,699000,649000,636944,655944,685000,634000,734500,697450,694000,709000,765000,765000,749000,676500,704400,685000,689800,689800,738326.5,749000,770000,776000,759000,749000,749000,765000,794000,750000,767000,798500,798000,789000,784000,784000,764500,768000,772000
"North Hills","El Paso","TX","El Paso","El Paso",673,168000,164725,161950,164000,164900,159950,162975,164900,163650,162950,162950,167950,165488,165000,160000,160600,158100,165000,165000,167950,166950,150000,144500,143950,144950,144950,144900,147925,145000,156250,152950,154950,153900,149000,149950,152000,152000,149450,154638,155825,157225,156400,156200,160000,163450,162950,166475,169000,167500,167000,168250,169000,169450,169900,165950,165975,149950,139860,139950,139385,137950,139970,140950,141950,143950,144450,143950,142950,142950,141700,142950,142950,143950,143975,144950,148725,156950,159675,162450,165000,165000,165000,169900,161400,154950,156000,165000,167999,168444,169900,174000,170000,174000
"Chisholm Creek","Wichita","KS","Wichita","Sedgwick",674,138700,140000,137500,135000,136280,135000,133950,134900,134900,134950,135000,134900,129950,129950,130000,130000,129900,129900,129900,131900,129900,131900,129000,119900,119900,119900,117000,124950,126500,126500,124900,121900,119900,125950,128950,127750,124900,124900,129900,130500,129900,129900,127750,128500,128500,129900,128900,127500,126000,129900,129900,130000,132450,134200,132750,133900,129900,132500,135000,139900,139900,136000,133000,131500,129900,129900,129450,133900,132900,129900,138000,138000,134900,134700,134500,142000,138250,136500,142000,134900,134900,134900,134900,133950,139000,135000,133950,139950,148900,152500,149900,149450,151250
"Sellwood-Moreland","Portland","OR","Portland","Multnomah",675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,511950,525400,555000,499900,519000,525000,499500,509475,525000,549900,510000,597900,549900,594900,597000,574500,537000,542000,499990
"Point Place","Toledo","OH","Toledo","Lucas",676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900,77000,78900,79900,76400,79900,74900,74900,69900,78400,74900,74200,73000,69900,74900,69900,77000,75000,75000,75900,72250,73900,76500,74900,69900,70000,72450,72500,74950,74950,76950,79900,77200,82500,82700,84900,84900,84900,82500,81000,82500,82500,85000,89900,89700,89900,89900
"Cascade","Renton","WA","Seattle","King",677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326975,329975,339950,336350,317000,316500,316500,318950,318000,319900,322500,325000,325000,337475,350000,369950,370981.5,370000,363550
