"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Lincoln Park","Chicago","IL","Chicago","Cook",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,2050,1787.5,1695,1750,2000,2125,2300,2162.5,2200,2150,2000,1850,2000,2200
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",119,,,,,,,,,2100,1990,1700,1712.5,1695,1690,1775,1800,1800,1700,1800,1800,1900,1962.5,1900,1800,1950,1995,2150,2100,2150,1925,1800,1850,1800,1800,1750,1782.5,1850,1995,2100,2250,2300,2300,2100,2300,2200,2200,2200,2250,2250,2200,2150,2250,2300,2400,2300,2100,2100,2100,2075,2100,2200,2295,2500,2500,2500,2400,2375,2300,2250,2347.5,2300,2300,2300,2250,2250,2200,2200,2100,2100,2000,2125,2200,1990,1950,1950,2000,1997,1950,2000,2100,2174.5,2000
"Mid-Cambridge","Cambridge","MA","Boston","Middlesex",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2225,2140,2200,2287.5,2250,2240,2250,2300,2200,2200,2500,2500,2200,2200,2200,2200,2200,2400,2450,2487.5,2500,2425,2387.5,2275,2375,2400,2400,2400,2500,2497.5,2500,2500,2475,2500,2400,2400,2500,2500,2385,2400,2300,2400,2500,2500,2500,2500,2500,2385,2500,2370,2500,2500,2500,2550,2600,2600,2600,2600
"Downtown","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",121,,,,,,,,2300,2250,2250,2275,2200,2100,2100,2125,2200,2100,2150,2200,2200,2300,2250,2275,2250,2300,2250,2200,2200,2250,2300,2300,2350,2350,2300,2400,2400,2400,2410,2400,2400,2300,2200,2300,2450,2400,2400,2380,2375,2350,2350,2350,2400,2400,2450,2400,2350,2200,2200,2200,2200,2300,2350,2400,2400,2500,2600,2600,2500,2500,2500,2500,2500,2500,2500,2500,2450,2425,2400,2300,2450,2300,2450,2295,2400,2350,2350,2400,2350,2400,2400,2400,2400
"Glenbrook","Stamford","CT","Stamford","Fairfield",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2250,2200,2047.5,1975,1912.5,1900,1912.5,1875,2200,2200,2000
"Ballston-Virginia Square","Arlington","VA","Washington","Arlington",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537.5,2400,2450,2475,2395,2592.5,2500,2590,2400,2495,2497.5,2590,2650,2695,2595,2550,2500,2350,2300,2375,2400,2400,2325,2600,2450,2450,2449.5,2424.5,2437.5,2470,2425,2400,2400,2400,2399,2225,2100,2200,2400,2400,2492.5,2400,2300,2400,2350,2400,2495,2500,2562.5,2395,2400,2447.5,2550,2300,2250,2140,2300,2395,2400,2450,2400,2495,2250,2090
"Cambridgeport","Cambridge","MA","Boston","Middlesex",124,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3015,2650,2700,2652.5,3000,3145.5,3052,3100,3145.5,3100,3190,3117,3065,3100,3039,3043,3085.5,3200,3330,3300,3330,3300,3300,3300,3289.5,3200,3094,3000,3012,3300,2950,3000,3000,3038,3031,3279,3300,3000,3000,3000,3000,3100,3000,3000,3012,3000,3031,3150,3150,3289.5,3300,3300,3400,3400,3279,3300,3300,3297.5,3400,3300,3300,3100,3300,3300,3300,3300
"Downtown","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",125,,,,,,,,,,,,,,,,,,,,,,,,,1600,1825,1837.5,1600,1825,1650,1600,1525,1572.5,1610,1595,1497.5,1650,1520,1775,1997,1800,1750,1800,1737.5,1750,1775,1950,1900,1965,1950,1895,2000,2100,1950,1972.5,1950,1997.5,1925,2048,2000,1997.5,2250,2200,2250,2200,1925,2095,2125,2095,2100,2250,2150,2100,2025,2000,2100,2100,2000,2100,2200,2200,2374.5,2200,2297,2274.5,2350,2297.5,2324.5,2250,2112.5,2150,2100
"South Beach","San Francisco","CA","San Francisco","San Francisco",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4265,4495,4297.5,5000,4925,4700,4800,4500,4800,4500,4781
"Park West","Chicago","IL","Chicago","Cook",127,,,,,,,,,,,,,,,,,,,,,1572.5,1595,1600,1500,1735.5,1700,1650,1650,1725,1700,1800,1795,1855,1766,1450,1544,1500,1500,1515,1525,1539.5,1475,1500,1535,1650,1662.5,1725,1600,1600,1600,1597,1500,1500,1542.5,1700,1795,1700,1775,1800,1800,1825,1797.5,1797.5,1775,1700,1690,1662.5,1700,1600,1599.5,1600,1700,1770,1690,1675,1667.5,1850,1825,1800,1750,1650,1797.5,1705,1650,1662.5,1800,1850,1850,1900,1800,1797.5,1850
