"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Clemmons","NC","Winston-Salem","Forsyth",3371,1418,-0.00421348314606742,0.00567375886524823,0,5899
2017-09-30,"North Bend","OR","Coos Bay","Coos",3372,1273,0.0127287191726333,0.0266129032258065,0.0299352750809061,4701
2017-09-30,"Ridgefield Park","NJ","New York","Bergen",3373,2166,-0.00230308613542146,-0.00138312586445367,-0.0667815596725549,2767
2017-09-30,"Monroe","NC","Charlotte","Union",3374,1190,0.00337268128161889,0.00337268128161889,0.0303030303030303,9189
2017-09-30,"Northampton","MA","Springfield","Hampshire",3375,1878,-0.00106382978723404,0.0694760820045558,-0.01829587036069,6044
2017-09-30,"Cinco Ranch","TX","Houston","Fort Bend",3376,2397,0.00167154199749269,-0.00332640332640333,-0.0396634615384615,5034
2017-09-30,"Town of Massena","NY","Ogdensburg","Saint Lawrence",3377,1121,-0.0140721196130167,-0.0114638447971781,-0.0603520536462699,4035
2017-09-30,"Dexter","MI","Ann Arbor","Washtenaw",3378,1860,0.00486223662884927,-0.008,0.0344827586206897,4884
2017-09-30,"Montgomeryville","PA","Philadelphia","Montgomery",3379,2206,0.0147194112235511,0.0337394564198688,0.0114626318202659,2581
2017-09-30,"Bryn Mawr-Skyway","WA","Seattle","King",3380,2219,0.00316455696202532,0.016491067338525,0.0963438735177866,4402
2017-09-30,"Richland Township","PA","Philadelphia","Bucks",3381,1682,0.00718562874251497,0.0163141993957704,0.030006123698714,3253
2017-09-30,"Cromwell","CT","Hartford","Middlesex",3382,1627,0.00993171942892613,0.0219849246231156,-0.029236276849642,3457
2017-09-30,"Endicott","NY","Binghamton","Broome",3383,1085,-0.0163191296464189,-0.0710616438356164,-0.00641025641025641,2458
2017-09-30,"Rock Falls","IL","Sterling","Whiteside",3384,1064,0.00853080568720379,0.0410958904109589,-0.00931098696461825,5442
2017-09-30,"Oakland","NJ","New York","Bergen",3385,2543,0.00952759031361651,0.0345809601301871,0.0320616883116883,4541
2017-09-30,"Sandy","OR","Portland","Clackamas",3386,1805,0.00781686208821887,0.0255681818181818,0.0331997710360618,6582
2017-09-30,"Prospect Heights","IL","Chicago","Cook",3387,2183,0.00275608635737253,0.00784856879039704,0.00645458736745044,2377
2017-09-30,"Millbrook","AL","Montgomery","Elmore",3388,926,0.00761697497279652,0.022075055187638,0.0288888888888889,5354
2017-09-30,"Weehawken","NJ","New York","Hudson",3389,2329,0.00561312607944732,0.01569995638901,-0.0443167829298318,1018
2017-09-30,"Ardmore","PA","Philadelphia","Delaware",3390,1930,0.00155682407887909,-0.0127877237851662,0.0157894736842105,3677
2017-09-30,"Forsyth","GA","Macon","Monroe",3391,1157,0.00696257615317668,0.00696257615317668,0.0284444444444444,3754
