"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,24678,"Farmersville","OH","Dayton","Montgomery",9227,150100,0.00334224598930481,0.0190088255261371,0.0924308588064047,0.0402889774695376,0.0120166244508415,"2017-09","2017-Q3",150100,0,"2017-09"
2017-09-30,54344,"Scotts","MI","Kalamazoo","Kalamazoo",9228,173400,0.00638421358096344,0.0230088495575221,0.0483675937122128,0.0567168699551632,0.0143319974940799,"2017-09","2017-Q3",173400,0,"2017-09"
2017-09-30,16955,"Belews Creek","NC","Winston-Salem","Forsyth",9229,154600,-0.00193673337637185,0.00324464633354964,0.024519549370444,0.0204755804520527,0.000649142145602299,"2017-07","2017-Q3",155000,-0.00258064516129032,"2017-07"
2017-09-30,215851,"Southmont","PA","Johnstown","Cambria",9230,78400,0.00127713920817369,-0.0260869565217391,-0.0565583634175692,0.00730004519521166,-0.0226639582587176,"2006-02","2006-Q1",105100,-0.254043767840152,"2004-04"
2017-09-30,36776,"Alvaton","KY","Bowling Green","Warren",9231,196900,0.00510464522715671,0.0112994350282486,0.028735632183908,0.044739096749622,0.0288902831528719,"2017-09","2017-Q3",196900,0,"2017-09"
2017-09-30,43978,"Attica","MI","Detroit","Lapeer",9232,173300,0.00289351851851852,0.0236266981689309,0.1813224267212,0.0875643615388488,0.0156322110269445,"2001-10","2001-Q4",186300,-0.0697799248523886,
2017-09-30,43800,"Elberta","AL","Daphne","Baldwin",9233,191000,-0.00624349635796046,-0.0240163515585079,0.0154173312068049,0.0270968173295805,-0.0128631085267227,"2007-01","2007-Q1",231700,-0.175658178679327,"2005-07"
2017-09-30,398168,"Londonderry Township","PA","Philadelphia","Chester",9234,292700,0.00722642807983482,0.0149098474341193,0.0616612259702575,0.0191613238383184,-0.00986334823669843,"2007-07","2007-Q3",325700,-0.101320233343568,"2005-12"
2017-09-30,18000,"Erin","TN",,"Houston",9235,73800,-0.0173102529960053,-0.0133689839572193,0.0618705035971223,0.0204367845028683,0.0149857024374693,"2015-10","2015-Q4",77600,-0.0489690721649485,"2015-04"
2017-09-30,39094,"Ida","MI","Monroe","Monroe",9236,164200,-0.00424499696785931,-0.00605326876513317,-0.00965018094089264,0.0574267955793797,0.00159737954683115,"2005-07","2005-Q3",178900,-0.0821688093907211,"2003-06"
2017-09-30,398656,"Delaware Township","PA","Youngstown","Mercer",9237,142900,0.0120396600566572,0.0484225972120323,0.192821368948247,0.069760139155153,0.042774584342804,"2017-09","2017-Q3",142900,0,"2017-09"
2017-09-30,28943,"Moxee","WA","Yakima","Yakima",9238,199300,0.00962512664640324,0.014765784114053,0.0423640167364017,0.0447760136557906,0.0235581410330259,"2017-09","2017-Q3",199300,0,"2017-09"
2017-09-30,399239,"Frelinghuysen Township","NJ","Allentown","Warren",9239,299100,-0.000668225860340795,0.00605449041372351,-0.0167652859960552,0.0118437674320091,-0.0255614191244657,"2006-10","2006-Q4",420000,-0.287857142857143,"2003-03"
