"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,272139,"Johnson's Woods","WI","Milwaukee","Milwaukee","Milwaukee",3594,111000,0.00909090909090909,0.0344827586206897,0.0818713450292398,0.0475338395655047,-0.0140719027570416,"2006-07","2006-Q3",132600,-0.16289592760181,"2004-02"
2017-09-30,344046,"Cadwalader & Hillcrest","NJ","Trenton","Mercer","Trenton",3595,109300,0.00644567219152855,-0.034452296819788,-0.0697872340425532,0.0226926144931989,-0.0325677719167828,"2007-11","2007-Q4",154800,-0.293927648578811,"2004-07"
2017-09-30,276229,"Cable-Westwood","TX","San Antonio","Bexar","San Antonio",3596,86300,-0.00576036866359447,0.00116009280742459,0.10783055198973,0.0697591669358337,0.0104227591488972,"2017-07","2017-Q3",87200,-0.0103211009174312,"2017-07"
2017-09-30,343227,"Eagle Lake","NC","Charlotte","Mecklenburg","Charlotte",3597,153400,0.0138797091870456,0.0316072629455279,0.118075801749271,0.0725065004824867,0.0176324557731751,"2017-09","2017-Q3",153400,0,"2017-09"
2017-09-30,274713,"North Highland Park","VA","Richmond","Richmond City","Richmond",3598,112400,0.0378578024007387,0.0849420849420849,0.241988950276243,0.055740295104175,,"2017-09","2017-Q3",112400,0,"2017-09"
2017-09-30,270426,"Laurelwood","NM","Albuquerque","Bernalillo","Albuquerque",3599,169600,-0.00527859237536657,-0.0418079096045198,0.0469135802469136,0.0273431483886635,-0.0147644468306118,"2007-11","2007-Q4",198200,-0.144298688193744,"2006-03"
2017-09-30,270223,"Lafayette Square","MO","St. Louis","Saint Louis City","Saint Louis",3600,242700,-0.0028759244042728,-0.00164541341011929,0.0616797900262467,0.00845071588261614,0.00719915916749092,"2006-11","2006-Q4",248400,-0.0229468599033816,"2006-10"
2017-09-30,125594,"Ortega Farms","FL","Jacksonville","Duval","Jacksonville",3601,140700,0.00142348754448399,0.0129589632829374,0.0983606557377049,0.11159840097523,-0.0137539562102763,"2007-08","2007-Q3",161800,-0.130407911001236,"2005-12"
2017-09-30,269516,"Waveland Park","IA","Des Moines","Polk","Des Moines",3602,164500,-0.00121432908318154,-0.00242571255306246,-0.00242571255306246,0.03485745923793,0.0143892489605835,"2017-01","2017-Q1",170900,-0.03744880046811,"2016-09"
2017-09-30,270140,"Morris Park","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3603,205800,0.00882352941176471,0.0284857571214393,0.0668740279937792,0.0925536771642856,0.0115901779620802,"2017-09","2017-Q3",205800,0,"2017-09"
2017-09-30,416999,"Upper East","CA","Santa Maria-Santa Barbara","Santa Barbara","Santa Barbara",3604,1479900,0.000337974854670813,-0.0129393717067965,-0.0249061079264677,0.0929091937908268,0.0135533040202873,"2017-03","2017-Q1",1547200,-0.0434979317476732,"2016-04"
